Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NRP-S,202506,Coll_Principal,,,Manual,-0.0538,,"PQ rate: -148,890 / 2,767,480"
NRP-S,202506,Coll_Interest,,,Manual,-0.0227,,"PQ rate: -62,822 / 2,767,480"
NON PRIME,202507,Coll_Principal,,,Manual,-0.0436,,"PQ rate: -588,978 / 13,508,661"
NON PRIME,202507,Coll_Interest,,,Manual,-0.041,,"PQ rate: -553,855 / 13,508,661"
NRP-L,202507,Coll_Principal,,,Manual,-0.0115,,"PQ rate: -1,313 / 114,200"
NRP-L,202507,Coll_Interest,,,Manual,-0.0185,,"PQ rate: -2,113 / 114,200"
NRP-M,202507,Coll_Principal,,,Manual,-0.0163,,"PQ rate: -141,485 / 8,680,065"
NRP-M,202507,Coll_Interest,,,Manual,-0.0172,,"PQ rate: -149,297 / 8,680,065"
NRP-S,202507,Coll_Principal,,,Manual,-0.0398,,"PQ rate: -124,381 / 3,125,155"
NRP-S,202507,Coll_Interest,,,Manual,-0.0239,,"PQ rate: -74,691 / 3,125,155"
PRIME,202507,Coll_Principal,,,Manual,-0.0117,,"PQ rate: -115 / 9,843"
PRIME,202507,Coll_Interest,,,Manual,-0.0116,,"PQ rate: -114 / 9,843"
NON PRIME,202508,Coll_Principal,,,Manual,-0.0491,,"PQ rate: -519,593 / 10,582,347"
NON PRIME,202508,Coll_Interest,,,Manual,-0.0328,,"PQ rate: -347,101 / 10,582,347"
NRP-L,202508,Coll_Principal,,,Manual,-0.0151,,"PQ rate: -708 / 46,869"
NRP-L,202508,Coll_Interest,,,Manual,-0.0151,,"PQ rate: -708 / 46,869"
NRP-M,202508,Coll_Principal,,,Manual,-0.0199,,"PQ rate: -149,919 / 7,533,596"
NRP-M,202508,Coll_Interest,,,Manual,-0.0122,,"PQ rate: -91,910 / 7,533,596"
NRP-S,202508,Coll_Principal,,,Manual,-0.0399,,"PQ rate: -129,963 / 3,257,215"
NRP-S,202508,Coll_Interest,,,Manual,-0.0183,,"PQ rate: -59,607 / 3,257,215"
PRIME,202508,Coll_Principal,,,Manual,-0.0076,,"PQ rate: -228 / 30,053"
PRIME,202508,Coll_Interest,,,Manual,-0.0039,,"PQ rate: -117 / 30,053"
NON PRIME,202509,Coll_Principal,,,Manual,-0.018,,"PQ rate: -206,666 / 11,481,431"
NON PRIME,202509,Coll_Interest,,,Manual,-0.0037,,"PQ rate: -42,481 / 11,481,431"
NRP-L,202509,Coll_Principal,,,Manual,-0.0195,,"PQ rate: -299 / 15,353"
NRP-L,202509,Coll_Interest,,,Manual,-0.009,,"PQ rate: -138 / 15,353"
NRP-M,202509,Coll_Principal,,,Manual,-0.0129,,"PQ rate: -112,582 / 8,727,304"
NRP-M,202509,Coll_Interest,,,Manual,-0.0016,,"PQ rate: -13,964 / 8,727,304"
NRP-S,202509,Coll_Principal,,,Manual,-0.0168,,"PQ rate: -55,677 / 3,314,123"
NRP-S,202509,Coll_Interest,,,Manual,-0.0025,,"PQ rate: -8,285 / 3,314,123"
PRIME,202509,Coll_Principal,,,Manual,-0.0075,,"PQ rate: -183 / 24,415"
PRIME,202509,Coll_Interest,,,Manual,-0.0044,,"PQ rate: -107 / 24,415"
