Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,202201,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202301,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202404,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202405,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202406,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202407,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202408,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202409,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202410,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202411,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202412,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202501,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202502,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202503,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202504,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202505,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202506,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202507,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202508,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NON PRIME,202509,Total_Coverage_Ratio,0,999,SegMedian,,,CHANGED from DonorCohort to SegMedian for lower impairment
NRP-L,202301,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-L,202404,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-L,202405,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-L,202406,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-L,202407,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-L,202408,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-L,202409,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202410,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202411,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202412,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202501,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202502,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202503,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202504,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202505,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202506,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202507,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202508,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-L,202509,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NRP-M,202001,Total_Coverage_Ratio,0,999,Manual,0.0,,negligible remaining balance
NRP-M,202101,Total_Coverage_Ratio,0,999,Manual,0.0,,negligible remaining balance
NRP-M,202201,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202301,Total_Coverage_Ratio,0,999,Manual,0.0,,negligible remaining balance
NRP-M,202404,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202405,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202406,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202407,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202408,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202409,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202410,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202411,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202412,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202501,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202502,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202503,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202504,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202505,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202506,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202507,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202508,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-M,202509,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,201912,Total_Coverage_Ratio,0,999,CohortAvg,,,
NRP-S,202001,Total_Coverage_Ratio,0,999,Manual,0.0,,negligible remaining balance
NRP-S,202101,Total_Coverage_Ratio,0,999,Manual,0.0,,negligible remaining balance
NRP-S,202201,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202301,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202404,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202405,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202406,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202407,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202408,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202409,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202410,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202411,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202412,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202501,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202502,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202503,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202504,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202505,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202506,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202507,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202508,Total_Coverage_Ratio,0,999,CohortTrend,,,
NRP-S,202509,Total_Coverage_Ratio,0,999,CohortTrend,,,
PRIME,202101,Total_Coverage_Ratio,0,999,Manual,0.0,,negligible remaining balance
PRIME,202201,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,PRIME mature
PRIME,202405,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,WHY ARE THESE RATES 0???
PRIME,202407,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
PRIME,202409,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
PRIME,202504,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
PRIME,202507,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
PRIME,202508,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
PRIME,202509,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,
NON PRIME,ALL,WO_DebtSold,0,999,Zero,,,Reduce WO to preserve GBV
NRP-L,ALL,WO_DebtSold,0,999,Zero,,,Reduce WO to preserve GBV
NRP-M,ALL,WO_DebtSold,0,999,Zero,,,Reduce WO to preserve GBV
NRP-S,ALL,WO_DebtSold,0,999,Zero,,,Reduce WO to preserve GBV
PRIME,ALL,WO_DebtSold,0,999,Zero,,,Reduce WO to preserve GBV
NON PRIME,ALL,WO_Other,0,999,CohortAvg,12.0,,Rare-12mo
NRP-L,ALL,WO_Other,0,999,CohortAvg,12.0,,Rare-12mo
NRP-M,ALL,WO_Other,0,999,CohortAvg,12.0,,Rare-12mo
NRP-S,ALL,WO_Other,0,999,CohortAvg,12.0,,Rare-12mo
PRIME,ALL,WO_Other,0,999,CohortAvg,12.0,,Rare-12mo
